station_name,latitude,longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Clark St & Armitage Ave,41.918306,-87.636282,24.0,0.0,2.0,5.0,-16.0,-118.0,-416.0,-427.0,-502.0,-89.0,20.0,6.0,54.0,75.0,-98.0,-8.0,-32.0,461.0,591.0,378.0,174.0,36.0,47.0,80.0
Clark St & Chicago Ave,41.896544,-87.630931,-39.0,-16.0,-23.0,-53.0,-24.0,-20.0,-161.0,-208.0,-127.0,135.0,-28.0,-81.0,-30.0,-100.0,-42.0,10.0,-66.0,27.0,-173.0,2.0,-82.0,-41.0,1.0,-24.0
Clark St & Congress Pkwy,41.8759326655,-87.6305845355,29.0,4.0,-2.0,-13.0,16.0,52.0,41.0,-770.0,-775.0,15.0,-83.0,-99.0,32.0,-17.0,-115.0,-11.0,745.0,568.0,-452.0,-184.0,21.0,32.0,-53.0,10.0
Clark St & Elm St,41.903233,-87.631253,138.0,35.0,22.0,-45.0,-39.0,-107.0,-614.0,-904.0,-901.0,-332.0,-132.0,-163.0,21.0,21.0,142.0,313.0,726.0,1247.0,404.0,142.0,370.0,156.0,171.0,98.0
Clark St & Grace St,41.95078,-87.659172,-14.0,4.0,-17.0,4.0,3.0,-20.0,-35.0,-59.0,16.0,-22.0,2.0,59.0,36.0,74.0,-28.0,-68.0,-106.0,27.0,35.0,69.0,-18.0,-106.0,-126.0,-1.0
Clark St & Leland Ave,41.967096,-87.667429,41.0,28.0,16.0,3.0,-1.0,-2.0,6.0,-250.0,-171.0,-91.0,-82.0,-93.0,-62.0,-46.0,-61.0,24.0,2.0,75.0,73.0,-54.0,47.0,46.0,60.0,20.0
Clark St & Lincoln Ave,41.915689,-87.6346,51.0,89.0,21.0,1.0,-6.0,-65.0,-161.0,-221.0,-571.0,-124.0,1.0,80.0,-120.0,-54.0,108.0,10.0,185.0,324.0,602.0,301.0,153.0,-5.0,-56.0,-7.0
Clark St & Montrose Ave,41.961588,-87.666036,83.0,29.0,24.0,15.0,20.0,-59.0,-139.0,-90.0,-321.0,-112.0,-77.0,-86.0,-86.0,-71.0,-12.0,2.0,97.0,108.0,135.0,159.0,88.0,88.0,114.0,92.0
Clark St & North Ave,41.911974,-87.631942,-2.0,9.0,4.0,-8.0,-5.0,6.0,-69.0,-134.0,-216.0,-9.0,132.0,-1.0,168.0,48.0,20.0,-176.0,-199.0,241.0,396.0,143.0,-56.0,-32.0,-81.0,-20.0
Clark St & Randolph St,41.884576228,-87.63188991,-1.0,10.0,-7.0,-5.0,-20.0,29.0,72.0,858.0,1800.0,851.0,205.0,-72.0,-96.0,30.0,-95.0,-255.0,-1263.0,-2240.0,-692.0,-162.0,-107.0,-45.0,-14.0,17.0
